연도,역번호,역명,1월 승차, 1월 하차,2월 승차, 2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2011,109,용문,"227,288","229,119","196,513","197,700","240,514","241,834","228,521","230,779","235,280","234,743","221,598","222,893","221,061","221,212","214,540","214,165","216,513","219,354","234,059","235,847","228,224","231,341","237,187","240,386"
2011,110,탄방,"138,329","153,581","119,219","132,742","148,194","165,096","143,542","160,043","147,009","163,605","138,272","153,536","139,010","154,930","134,391","149,252","131,783","148,819","140,504","158,905","138,059","156,884","146,881","167,844"
2011,111,시청,"232,711","252,677","203,613","220,732","237,154","260,514","226,944","248,045","234,987","256,625","218,163","239,377","227,058","247,100","220,894","240,539","216,470","238,699","227,376","249,126","231,164","254,301","244,542","269,682"
2011,112,정부청사,"172,053","189,576","150,387","163,979","185,077","204,619","181,319","199,754","189,784","209,928","174,842","193,114","171,832","189,195","169,623","186,917","170,255","186,557","185,301","201,790","188,485","205,299","193,953","211,939"
2011,113,갈마,"103,381","100,046","92,461","88,376","110,951","107,245","106,942","102,799","109,917","105,085","102,077","97,113","102,043","96,774","97,548","92,975","98,453","94,569","106,491","101,038","106,319","101,094","109,828","103,559"
2011,114,월평,"126,220","126,695","108,969","108,927","135,073","133,523","130,863","128,104","132,321","130,517","127,618","127,045","125,655","124,665","120,723","122,489","125,395","125,505","134,470","133,793","136,108","134,803","133,547","132,378"
2011,115,갑천,"32,708","31,706","29,343","28,694","37,078","36,513","36,789","36,726","36,971","35,987","34,431","32,968","31,498","29,716","29,977","28,166","32,670","30,989","36,345","35,134","36,082","34,722","35,530","33,851"
2011,116,유성온천,"206,450","201,116","185,626","180,989","252,262","243,312","237,670","228,641","240,780","235,344","216,255","208,754","201,302","194,648","194,623","192,535","209,304","204,269","230,983","228,342","229,627","226,769","243,438","239,585"
2011,117,구암,"86,256","83,025","78,468","74,043","104,101","96,356","104,286","97,032","105,105","98,903","95,744","90,722","90,945","86,403","88,670","86,932","89,867","88,265","94,391","93,806","94,232","93,954","93,210","92,938"
2011,118,현충원,"39,885","34,085","37,997","32,805","69,146","67,247","73,266","69,754","70,517","67,233","59,170","56,367","47,183","41,917","54,935","43,426","71,316","59,095","80,923","66,833","78,379","64,335","67,914","52,211"
2011,119,월드컵경기장,"67,214","62,172","56,987","53,018","77,857","74,618","74,927","70,976","75,995","73,159","78,199","72,873","70,665","65,623","68,952","63,623","72,171","67,572","80,171","77,266","74,653","69,767","77,159","70,912"
2011,120,노은,"109,748","112,139","95,346","97,627","114,551","117,820","110,541","113,670","113,744","116,820","108,853","111,328","113,817","117,525","111,500","115,157","107,664","110,138","115,515","117,699","117,145","119,418","124,408","124,790"
2011,121,지족,"86,958","83,669","76,147","73,340","100,368","97,745","96,703","93,265","96,549","93,394","87,084","84,271","83,247","80,891","85,074","82,398","91,115","87,380","96,029","93,066","98,338","95,077","97,402","92,729"
